gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 20.0.0.2
gem5 compiled Sep 14 2020 15:06:02
gem5 started Sep 14 2020 15:19:30
gem5 executing on nanocad-server-testbed, pid 5439
command line: x86o --debug-flags=CoherentXBar simple.py

Global frequency set at 1000000000000 ticks per second
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [c80:cbf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [c80:cbf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [cc0:cff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [cc0:cff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [d00:d3f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [d00:d3f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [d40:d7f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [d40:d7f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [d80:dbf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [d80:dbf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [dc0:dff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [dc0:dff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [e00:e3f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [e00:e3f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [e40:e7f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [e40:e7f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [e80:ebf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [e80:ebf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [ec0:eff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [ec0:eff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [f00:f3f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [f00:f3f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [f40:f7f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [f40:f7f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [f80:fbf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [f80:fbf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [fc0:fff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [fc0:fff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1000:103f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1000:103f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1040:107f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1040:107f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1080:10bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1080:10bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [10c0:10ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [10c0:10ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1100:113f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1100:113f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1140:117f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1140:117f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1180:11bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1180:11bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [11c0:11ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [11c0:11ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1200:123f]
